CustomerID,count,min,max,mean,sum,categ_0,categ_1,categ_2,categ_3,categ_4,LastPurchase,FirstPurchase,cluster
12347,4,382.52,636.25,519.7675,2079.07,18.4115974931099,29.39391170090473,5.661185049084446,15.485770079891491,31.04753567700943,59,247,10
12348,3,227.44,367.0,301.48,904.44,35.871920746539296,0.0,0.0,0.0,64.12807925346071,5,248,5
12350,1,334.4000000000001,334.4000000000001,334.4000000000001,334.4000000000001,23.65430622009569,0.0,0.0,27.900717703349287,48.44497607655502,240,240,5
12352,6,144.35,840.3,345.6633333333333,2073.98,53.725204678926524,15.711337621384974,14.301005795620018,3.3703314400331736,12.892120464035333,2,226,4
12353,1,89.0,89.0,89.0,89.0,44.71910112359551,0.0,22.359550561797754,19.8876404494382,13.033707865168537,134,134,4
12354,1,1079.4,1079.4,1079.4,1079.4,22.061330368723358,19.700759681304426,16.235871780618858,10.825458588104503,31.17657958124884,162,162,1
12355,1,459.4,459.4,459.4,459.4,9.882455376578148,25.27209403569874,0.0,11.558554636482372,53.28689595124075,144,144,5
12356,2,481.46,2271.620000000001,1376.5400000000006,2753.0800000000013,37.61423569238815,7.409882749502374,13.464192831301663,12.854693652200439,28.656995074607334,175,255,1
12358,1,484.86,484.86,484.86,484.86,16.49960813430681,3.0936765251825267,66.28717567957764,3.6505382997153832,10.469001361217671,80,80,7
12359,3,547.5,1803.1100000000006,1153.3100000000004,3459.9300000000007,37.722728494507116,14.93671837291506,26.253421311991854,11.413525707167485,9.67360611341848,119,261,1
12360,2,534.7000000000002,1083.58,809.1400000000001,1618.2800000000002,45.80295128160761,9.429764935610649,0.0,24.406159626269865,20.361124156511853,42,130,4
12361,1,189.90000000000003,189.90000000000003,189.90000000000003,189.90000000000003,7.898894154818324,0.0,0.0,18.641390205371252,73.45971563981041,217,217,5
12362,5,303.7600000000001,829.9900000000001,510.90800000000013,2554.5400000000004,18.411925434716228,19.08758524039553,6.576526497921345,20.277623368590824,35.64633945837606,2,225,10
12363,2,252.90000000000003,299.1,276.0,552.0,17.934782608695652,5.380434782608696,8.641304347826088,30.54347826086957,37.5,39,172,10
12364,2,79.8,623.92,351.86,703.7199999999998,48.43119422497584,4.923833342806799,0.0,4.611209003580972,42.0337634286364,8,42,4
12365,2,320.69,320.69,320.69,641.38,52.773706694939044,7.7177336368455505,0.0,16.55804671177773,22.950512956437684,221,221,4
12370,1,938.3900000000003,938.3900000000003,938.3900000000003,938.3900000000003,29.693411055105013,29.166977482709736,10.97624654994192,12.723920757893836,17.439444154349466,204,204,1
12372,3,383.12,515.7,432.68,1298.04,18.970139595081815,8.528242581122308,6.124618655819544,19.80678561523528,46.57021355274106,1,226,5
12373,1,364.6,364.6,364.6,364.6,24.95885902358749,4.85463521667581,0.0,46.65386725178278,23.53263850795392,241,241,9
12375,1,230.30000000000004,230.30000000000004,230.30000000000004,230.30000000000004,28.441163699522363,21.62396873643074,13.808076422058182,36.126791141988704,0.0,28,28,10
12377,1,626.6000000000001,626.6000000000001,626.6000000000001,626.6000000000001,28.949888285987864,18.81583147143313,17.283753590807528,15.368656240025532,19.581870411745925,245,245,10
